Geo_Id2,State,State_Abbr,Population,Housing_units,Area_in_square_miles-Total_area,Area_in_square_miles-Water_area,Area_in_square_miles-Land_area,Density_per_square_mile_of_land_area-Population,Density_per_square_mile_of_land_area-Housing_units,Median_Household_Income,Median_Household_Income_MOE,Median_Age,Margin_of_Error,Percent_Below_Poverty,Percent_Below_Poverty_MOE,Percent_Veterans,Pct_Veteran_MOE
1,Alabama,AL,4779736,2171853,52420,1775,50645,94,43,44758,314,38.6,0.1,18.4,0.2,9.4,0.1
2,Alaska,AK,710231,306967,665384,94743,570641,1,1,74444,809,33.6,0.2,10.1,0.4,12.8,0.3
4,Arizona,AZ,6392017,2844526,113990,396,113594,56,25,51340,231,37.1,0.2,17.7,0.2,9.8,0.1
5,Arkansas,AR,2915918,1316299,53179,1143,52035,56,25,42336,234,37.7,0.2,18.8,0.3,9.5,0.1
6,California,CA,37253956,13680081,163695,7916,155779,239,88,63783,188,36.0,0.1,15.8,0.1,5.9,0.1
8,Colorado,CO,5029196,2212898,104094,452,103642,49,21,62520,287,36.4,0.1,12.2,0.2,9.4,0.1
9,Connecticut,CT,3574097,1487891,5543,701,4842,738,307,71755,473,40.6,0.1,10.4,0.2,6.7,0.1
10,Delaware,DE,897934,405885,2489,540,1949,461,208,61017,723,39.6,0.2,12.0,0.4,9.5,0.2
11,District of Columbia,DC,601723,296719,68,7,61,9857,4860,72935,1164,33.8,0.1,17.9,0.5,5.1,0.2
12,Florida,FL,18801310,8989580,65758,12133,53625,351,168,48900,200,41.6,0.1,16.1,0.1,9.4,0.1
13,Georgia,GA,9687653,4088801,59425,1912,57513,168,71,51037,182,36.2,0.1,17.8,0.2,8.8,0.1
15,Hawaii,HI,1360301,519508,10932,4509,6423,212,81,71977,663,38.5,0.1,10.8,0.3,10.1,0.2
16,Idaho,ID,1567582,667796,83569,926,82643,19,8,49174,425,35.7,0.1,15.2,0.4,9.9,0.1
17,Illinois,IL,12830632,5296715,57914,2395,55519,231,95,59196,236,37.4,0.1,14.0,0.2,6.5,0.1
18,Indiana,IN,6483802,2795541,36420,593,35826,181,78,50433,195,37.4,0.1,15.0,0.2,8.2,0.1
19,Iowa,IA,3046355,1336417,56273,416,55857,55,24,54570,300,38.0,0.1,12.3,0.2,8.6,0.1
20,Kansas,KS,2853118,1233215,82278,520,81759,35,15,53571,305,36.2,0.1,13.3,0.3,8.9,0.1
21,Kentucky,KY,4339367,1927164,40408,921,39486,110,49,44811,312,38.6,0.2,18.8,0.3,8.6,0.1
22,Louisiana,LA,4533372,1964981,52378,9174,43204,105,46,45652,316,36.2,0.1,19.7,0.3,7.6,0.1
23,Maine,ME,1328361,721830,35380,4537,30843,43,23,50826,425,44.0,0.1,13.5,0.3,10.7,0.2
24,Maryland,MD,5773552,2378814,12406,2699,9707,595,245,76067,423,38.3,0.1,9.9,0.2,8.6,0.1
25,Massachusetts,MA,6547629,2808254,10554,2754,7800,839,360,70954,343,39.4,0.1,11.4,0.2,6.4,0.1
26,Michigan,MI,9883640,4532233,96714,40175,56539,175,80,50803,162,39.5,0.1,16.3,0.2,7.8,0.1
27,Minnesota,MN,5303925,2347201,86936,7309,79627,67,30,63217,225,37.8,0.2,10.8,0.1,8.0,0.1
28,Mississippi,MS,2967297,1274719,48432,1509,46923,63,27,40528,258,36.7,0.2,22.3,0.3,8.0,0.1
29,Missouri,MO,5988927,2712729,69707,965,68742,87,40,49593,259,38.3,0.1,15.3,0.2,9.4,0.1
30,Montana,MT,989415,482825,147040,1494,145546,7,3,48380,532,39.8,0.2,14.9,0.4,11.1,0.2
31,Nebraska,NE,1826341,796793,77348,524,76824,24,10,54384,314,36.2,0.1,12.4,0.2,9.0,0.1
32,Nevada,NV,2700551,1173814,110572,791,109781,25,11,53094,378,37.5,0.2,14.9,0.3,10.0,0.1
33,New Hampshire,NH,1316470,614754,9349,397,8953,147,69,68485,579,42.4,0.1,8.5,0.3,9.8,0.2
34,New Jersey,NJ,8791894,3553562,8723,1368,7354,1196,483,73702,377,39.5,0.1,10.9,0.1,5.4,0.1
35,New Mexico,NM,2059179,901388,121590,292,121298,17,7,45674,350,37.2,0.1,20.9,0.4,10.0,0.2
36,New York,NY,19378102,8108103,54555,7429,47126,411,172,60741,209,38.2,0.1,15.5,0.1,5.1,0.1
37,North Carolina,NC,9535483,4327528,53819,5201,48618,196,89,48256,229,38.3,0.1,16.8,0.2,9.0,0.1
38,North Dakota,ND,672591,317498,70698,1698,69001,10,5,59114,853,35.2,0.1,11.2,0.3,8.8,0.2
39,Ohio,OH,11536504,5127508,44826,3965,40861,282,126,50674,157,39.3,0.1,15.4,0.2,8.7,0.1
40,Oklahoma,OK,3751351,1664378,69899,1304,68595,55,24,48038,247,36.2,0.1,16.5,0.2,9.9,0.1
41,Oregon,OR,3831074,1675562,98379,2391,95988,40,18,53270,327,39.1,0.1,15.7,0.2,9.7,0.1
42,Pennsylvania,PA,12702379,5567315,46054,1312,44743,284,124,54895,185,40.6,0.1,13.3,0.1,8.3,0.1
72,Puerto Rico,PR,3725789,1636946,5325,1901,3424,1088,478,19606,168,39.4,0.2,45.1,0.3,3.3,0.1
44,Rhode Island,RI,1052567,463388,1545,511,1034,1018,448,58387,712,39.9,0.1,13.8,0.4,7.5,0.2
45,South Carolina,SC,4625364,2137683,32020,1960,30061,154,71,46898,307,38.8,0.2,17.2,0.2,10.1,0.1
46,South Dakota,SD,814180,363438,77116,1305,75811,11,5,52078,508,36.8,0.2,14.0,0.3,9.8,0.2
47,Tennessee,TN,6346105,2812133,42144,909,41235,154,68,46574,206,38.5,0.1,17.2,0.2,9.0,0.1
48,Texas,TX,25145561,9977436,268596,7365,261232,96,38,54727,165,34.2,0.1,16.7,0.1,7.7,0.1
0,United States,US,308745538,131704730,3796742,264837,3531905,87,37,55322,120,37.7,0.1,15.1,0.1,8.0,0.1
49,Utah,UT,2763885,979709,84897,2727,82170,34,12,62518,349,30.3,0.2,11.7,0.3,6.4,0.1
50,Vermont,VT,625741,322539,9616,400,9217,68,35,56104,793,42.6,0.1,11.6,0.4,8.4,0.2
51,Virginia,VA,8001024,3364939,42775,3285,39490,203,85,66149,285,37.8,0.2,11.4,0.2,11.0,0.1
53,Washington,WA,6724540,2885677,71298,4842,66456,101,43,62848,343,37.6,0.1,12.7,0.2,10.2,0.1
54,West Virginia,WV,1852994,881917,24230,192,24038,77,37,42644,410,41.9,0.1,17.7,0.3,9.9,0.1
55,Wisconsin,WI,5686986,2624358,65496,11339,54158,105,49,54610,201,39.1,0.1,12.7,0.2,8.3,0.1
56,Wyoming,WY,563626,261868,97813,720,97093,6,3,59143,896,36.8,0.2,11.6,0.5,10.7,0.3
